tags:JWW_FGB75_Grammar
What is the First Person Singular form of the Present Active Indicative of δίδωμι (δο) GIVE?	δί-δω-μι
What is the Second Person Plural form of the Imperfect Active Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δο-τε
What is the Third Person Plural form of the Imperfect Active Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δο-σαν
What is the First Person Singular form of the Imperfect Middle and Passive Indicative of δίδωμι (δο) GIVE?	ἐ-δι-δό-μην
What is the Second Person Singular form of the Imperfect Middle and Passive Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δο-σο
What is the Third Person Singular form of the Imperfect Middle and Passive Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δο-το
What is the Second Person Dual form of the Imperfect Middle and Passive Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δο-σθον
What is the Third Person Dual form of the Imperfect Middle and Passive Indicative of δίδωμι (δο) GIVE?	ἐ-δι-δό-σθην
What is the First Person Plural form of the Imperfect Middle and Passive Indicative of δίδωμι (δο) GIVE?	ἐ-δι-δό-μεθα
What is the Second Person Plural form of the Imperfect Middle and Passive Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δο-σθε
What is the Third Person Plural form of the Imperfect Middle and Passive Indicative of δίδωμι (δο) GIVE?	ἐ-δί-δο-ντο
What is the First Person Singular form of the Present Active Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ
What is the Second Person Singular form of the Present Active Subjunctive of δίδωμι (δο) GIVE?	δι-δῷς
What is the Third Person Singular form of the Present Active Subjunctive of δίδωμι (δο) GIVE?	δι-δῷ
What is the Second Person Dual form of the Present Active Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ-τον
What is the Third Person Dual form of the Present Active Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ-τον
What is the First Person Plural form of the Present Active Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ-μεν
What is the Second Person Plural form of the Present Active Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ-τε
What is the Third Person Plural form of the Present Active Subjunctive of δίδωμι (δο) GIVE?	δι-δῶσι
What is the First Person Singular form of the Present Middle and Passive Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ-μαι
What is the Second Person Singular form of the Present Middle and Passive Subjunctive of δίδωμι (δο) GIVE?	δι-δῷ
What is the Third Person Singular form of the Present Middle and Passive Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ-ται
What is the Second Person Dual form of the Present Middle and Passive Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ-σθον
What is the Third Person Dual form of the Present Middle and Passive Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ-σθον
What is the First Person Plural form of the Present Middle and Passive Subjunctive of δίδωμι (δο) GIVE?	δι-δώ-μεθα
What is the Second Person Plural form of the Present Middle and Passive Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ-σθε
What is the Third Person Plural form of the Present Middle and Passive Subjunctive of δίδωμι (δο) GIVE?	δι-δῶ-νται
What is the First Person Singular form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοίη-ν
What is the Second Person Singular form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοίη-ς
What is the Third Person Singular form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοίη
What is the Second Person Dual form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοῖ-τον or δι-δοίη-τον
What is the Third Person Dual form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοί-την or δι-δοιή-την
What is the First Person Plural form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοῖ-μεν or δι-δοίη-μεν
What is the Second Person Plural form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοῖ-τε or δι-δοίη-τε
What is the Third Person Plural form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοῖε-ν or δι-δοίη-σαν
What is the First Person Singular form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοί-μην
What is the Second Person Singular form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοῖ-ο
What is the Third Person Singular form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοῖ-το
What is the Second Person Dual form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοῖ-σθον
What is the Third Person Dual form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοί-σθην
What is the First Person Plural form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοί-μεθα
What is the Second Person Plural form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοῖ-σθε
What is the Third Person Plural form of the Present Active Optative of δίδωμι (δο) GIVE?	δι-δοῖ-ντο
What is the First Person Singular form of the Aorist Active Indicative of δίδωμι (δο) GIVE?	ἔδωκα
What is the Second Person Singular form of the Aorist Active Indicative of δίδωμι (δο) GIVE?	ἔδωκας
What is the Third Person Singular form of the Aorist Active Indicative of δίδωμι (δο) GIVE?	ἔδωκε
What is the Second Person Dual form of the Aorist Active Indicative of δίδωμι (δο) GIVE?	ἔ-δο-τον
What is the Third Person Dual form of the Aorist Active Indicative of δίδωμι (δο) GIVE?	ἐ-δό-την
What is the First Person Plural form of the Aorist Active Indicative of δίδωμι (δο) GIVE?	ἔ-δο-μεν
What is the Second Person Plural form of the Aorist Active Indicative of δίδωμι (δο) GIVE?	ἔ-δο-τε
What is the Third Person Plural form of the Aorist Active Indicative of δίδωμι (δο) GIVE?	ἔ-δο-σαν
What is the First Person Singular form of the Aorist Middle Indicative of δίδωμι (δο) GIVE?	ἐ-δό-μην
What is the Second Person Singular form of the Aorist Middle Indicative of δίδωμι (δο) GIVE?	ἔ-δου
What is the Third Person Singular form of the Aorist Middle Indicative of δίδωμι (δο) GIVE?	ἔ-δο-το
What is the Second Person Dual form of the Aorist Middle Indicative of δίδωμι (δο) GIVE?	ἔ-δο-σθον
What is the Third Person Dual form of the Aorist Middle Indicative of δίδωμι (δο) GIVE?	ἐ-δό-σθην
What is the First Person Plural form of the Aorist Middle Indicative of δίδωμι (δο) GIVE?	ἐ-δό-μεθα
What is the Second Person Plural form of the Aorist Middle Indicative of δίδωμι (δο) GIVE?	ἔ-δο-σθε
What is the Third Person Plural form of the Aorist Middle Indicative of δίδωμι (δο) GIVE?	ἔ-δο-ντο
What is the First Person Singular form of the Aorist Active Subjunctive of δίδωμι (δο) GIVE?	δῶ
What is the Second Person Singular form of the Aorist Active Subjunctive of δίδωμι (δο) GIVE?	δῷς
What is the Third Person Singular form of the Aorist Active Subjunctive of δίδωμι (δο) GIVE?	δῷ
What is the Second Person Dual form of the Aorist Active Subjunctive of δίδωμι (δο) GIVE?	δῶ-τον
What is the Third Person Dual form of the Aorist Active Subjunctive of δίδωμι (δο) GIVE?	δῶ-τον
What is the First Person Plural form of the Aorist Active Subjunctive of δίδωμι (δο) GIVE?	δῶ-μεν
What is the Second Person Plural form of the Aorist Active Subjunctive of δίδωμι (δο) GIVE?	δῶ-τε
What is the Third Person Plural form of the Aorist Active Subjunctive of δίδωμι (δο) GIVE?	δῶσι
What is the First Person Singular form of the Aorist Middle Subjunctive of δίδωμι (δο) GIVE?	δῶ-μαι
What is the Second Person Singular form of the Aorist Middle Subjunctive of δίδωμι (δο) GIVE?	δῷ
What is the Third Person Singular form of the Aorist Middle Subjunctive of δίδωμι (δο) GIVE?	δῶ-ται
What is the Second Person Dual form of the Aorist Middle Subjunctive of δίδωμι (δο) GIVE?	δῶ-σθον
What is the Third Person Dual form of the Aorist Middle Subjunctive of δίδωμι (δο) GIVE?	δῶ-σθον
What is the First Person Plural form of the Aorist Middle Subjunctive of δίδωμι (δο) GIVE?	δώ-μεθα
What is the Second Person Plural form of the Aorist Middle Subjunctive of δίδωμι (δο) GIVE?	δῶ-σθε
What is the Third Person Plural form of the Aorist Middle Subjunctive of δίδωμι (δο) GIVE?	δῶ-νται
What is the First Person Singular form of the Aorist Active Optative of δίδωμι (δο) GIVE?	δοίη-ν
What is the Second Person Singular form of the Aorist Active Optative of δίδωμι (δο) GIVE?	δοίη-ς
What is the Third Person Singular form of the Aorist Active Optative of δίδωμι (δο) GIVE?	δοίη
What is the Second Person Dual form of the Aorist Active Optative of δίδωμι (δο) GIVE?	δοῖ-τον or δοίη-τον
What is the Third Person Dual form of the Aorist Active Optative of δίδωμι (δο) GIVE?	δοί-την or δοιή-την
What is the First Person Plural form of the Aorist Active Optative of δίδωμι (δο) GIVE?	δοῖ-μεν or δοίη-μεν
What is the Second Person Plural form of the Aorist Active Optative of δίδωμι (δο) GIVE?	δοῖ-τε or δοίη-τε
What is the Third Person Plural form of the Aorist Active Optative of δίδωμι (δο) GIVE?	δοῖε-ν or δοίη-σαν
What is the First Person Singular form of the Aorist Middle and Passive Optative of δίδωμι (δο) GIVE?	δοί-μην
What is the Second Person Singular form of the Aorist Middle and Passive Optative of δίδωμι (δο) GIVE?	δοῖ-ο
What is the Third Person Singular form of the Aorist Middle and Passive Optative of δίδωμι (δο) GIVE?	δοῖ-το
What is the Second Person Dual form of the Aorist Middle and Passive Optative of δίδωμι (δο) GIVE?	δοῖ-σθον
What is the Third Person Dual form of the Aorist Middle and Passive Optative of δίδωμι (δο) GIVE?	δοί-σθην
What is the First Person Plural form of the Aorist Middle and Passive Optative of δίδωμι (δο) GIVE?	δοί-μεθα
What is the Second Person Plural form of the Aorist Middle and Passive Optative of δίδωμι (δο) GIVE?	δοῖ-σθε
What is the Third Person Plural form of the Aorist Middle and Passive Optative of δίδωμι (δο) GIVE?	δοῖ-ντο
