tags:JWW_FGB29_Grammar
What is the First Person Singular form of the Present Indicative Active of ποιέω <em>do make</em>?	(ποιέω) ποιῶ
What is the First Person Plural form of the Imperfect Indicative Active of δηλόω <em>manifest</em>?	(ἐδηλόομεν) ἐδηλοῦμεν
What is the Second Person Plural form of the Imperfect Indicative Active of δηλόω <em>manifest</em>?	(ἐδηλόετε) ἐδηλοῦτε
What is the Third Person Plural form of the Imperfect Indicative Active of δηλόω <em>manifest</em>?	(ἐδήλοον) ἐδήλουν
What is the First Person Singular form of the Imperfect Indicative Middle and Passive of δηλόω <em>manifest</em>?	(ἐδηλοόμην) ἐδηλούμην
What is the Second Person Singular form of the Imperfect Indicative Middle and Passive of δηλόω <em>manifest</em>?	(ἐδηλόου) ἐδηλοῦ
What is the Third Person Singular form of the Imperfect Indicative Middle and Passive of δηλόω <em>manifest</em>?	(ἐδηλόετο) ἐδηλοῦτο
What is the Second Person Dual form of the Imperfect Indicative Middle and Passive of δηλόω <em>manifest</em>?	(ἐδηλόεσθον) ἐδηλοῦσθον
What is the Third Person Dual form of the Imperfect Indicative Middle and Passive of δηλόω <em>manifest</em>?	(ἐδηλοέσθην) ἐδηλούσθην
What is the First Person Plural form of the Imperfect Indicative Middle and Passive of δηλόω <em>manifest</em>?	(ἐδηλοόμεθα) ἐδηλούμεθα
What is the Second Person Plural form of the Imperfect Indicative Middle and Passive of δηλόω <em>manifest</em>?	(ἐδηλόεσθε) ἐδηλοῦσθε
What is the Third Person Plural form of the Imperfect Indicative Middle and Passive of δηλόω <em>manifest</em>?	(ἐδηλόοντο) ἐδηλοῦντο
