tags:JWW_FGB74_Grammar
What is the First Person Singular form of the Present Active Indicative of τίθημι (θε) place put?	τί-θη-μι
What is the Third Person Dual form of the Aorist Middle and Passive Indicative of τίθημι (θε) place put?	ἐ-θέ-σθην
What is the First Person Plural form of the Aorist Middle and Passive Indicative of τίθημι (θε) place put?	ἐ-θέ-μεθα
What is the Second Person Plural form of the Aorist Middle and Passive Indicative of τίθημι (θε) place put?	ἔ-θε-σθε
What is the Third Person Plural form of the Aorist Middle and Passive Indicative of τίθημι (θε) place put?	ἔ-θε-ντο
What is the First Person Singular form of the Aorist Active Subjunctive of τίθημι (θε) place put?	θῶ
What is the Second Person Singular form of the Aorist Active Subjunctive of τίθημι (θε) place put?	θῇς
What is the Third Person Singular form of the Aorist Active Subjunctive of τίθημι (θε) place put?	θῇ
What is the Second Person Dual form of the Aorist Active Subjunctive of τίθημι (θε) place put?	θῆ-τον
What is the Third Person Dual form of the Aorist Active Subjunctive of τίθημι (θε) place put?	θῆ-τον
What is the First Person Plural form of the Aorist Active Subjunctive of τίθημι (θε) place put?	θῶ-μεν
What is the Second Person Plural form of the Aorist Active Subjunctive of τίθημι (θε) place put?	θῆ-τε
What is the Third Person Plural form of the Aorist Active Subjunctive of τίθημι (θε) place put?	θῶσι
What is the First Person Singular form of the Aorist Middle and Passive Subjunctive of τίθημι (θε) place put?	θῶ-μαι
What is the Second Person Singular form of the Aorist Middle and Passive Subjunctive of τίθημι (θε) place put?	θῇ
What is the Third Person Singular form of the Aorist Middle and Passive Subjunctive of τίθημι (θε) place put?	θῆ-ται
What is the Second Person Dual form of the Aorist Middle and Passive Subjunctive of τίθημι (θε) place put?	θῆ-σθον
What is the Third Person Dual form of the Aorist Middle and Passive Subjunctive of τίθημι (θε) place put?	θῆ-σθον
What is the First Person Plural form of the Aorist Middle and Passive Subjunctive of τίθημι (θε) place put?	θώ-μεθα
What is the Second Person Plural form of the Aorist Middle and Passive Subjunctive of τίθημι (θε) place put?	θῆ-σθε
What is the Third Person Plural form of the Aorist Middle and Passive Subjunctive of τίθημι (θε) place put?	θῶ-νται
What is the First Person Singular form of the Aorist Active Optative of τίθημι (θε) place put?	θείη-ν
What is the Second Person Singular form of the Aorist Active Optative of τίθημι (θε) place put?	θείη-ς
What is the Third Person Singular form of the Aorist Active Optative of τίθημι (θε) place put?	θείη
What is the Second Person Dual form of the Aorist Active Optative of τίθημι (θε) place put?	θεῖ-τον or θείη-τον
What is the Third Person Dual form of the Aorist Active Optative of τίθημι (θε) place put?	θεί-την or θειή-την
What is the First Person Plural form of the Aorist Active Optative of τίθημι (θε) place put?	θεῖ-μεν or θείη-μεν
What is the Second Person Plural form of the Aorist Active Optative of τίθημι (θε) place put?	θεῖ-τε or θείη-τε
What is the Third Person Plural form of the Aorist Active Optative of τίθημι (θε) place put?	θεῖε-ν or θείη-σαν
What is the First Person Singular form of the Aorist Middle and Passive Optative of τίθημι (θε) place put?	θεί-μην
What is the Second Person Singular form of the Aorist Middle and Passive Optative of τίθημι (θε) place put?	θεῖ-ο
What is the Third Person Singular form of the Aorist Middle and Passive Optative of τίθημι (θε) place put?	θεῖ-το
What is the Second Person Dual form of the Aorist Middle and Passive Optative of τίθημι (θε) place put?	θεῖ-σθον
What is the Third Person Dual form of the Aorist Middle and Passive Optative of τίθημι (θε) place put?	θεί-σθην
What is the First Person Plural form of the Aorist Middle and Passive Optative of τίθημι (θε) place put?	θεί-μεθα
What is the Second Person Plural form of the Aorist Middle and Passive Optative of τίθημι (θε) place put?	θεῖ-σθε
What is the Third Person Plural form of the Aorist Middle and Passive Optative of τίθημι (θε) place put?	θεῖ-ντο
