tags:JWW_FGB77_Grammar
What is the First Person Singular form of the Present Active Indicative of δείκνῡμι (δεικ) SHOW?	δείκ-νῡ-μι
What is the Third Person Plural form of the Present Middle and Passive Optative of δείκνῡμι (δεικ) SHOW?	δεικνύοιντο
What is the First Person Singular form of the Present Second Aorist Active Indicative of δύω ENTER?	ἔ-δῦ-ν
What is the Second Person Singular form of the Present Second Aorist Active Indicative of δύω ENTER?	ἔ-δῡ-ς
What is the Third Person Singular form of the Present Second Aorist Active Indicative of δύω ENTER?	ἔ-δῡ
What is the Second Person Dual form of the Present Second Aorist Active Indicative of δύω ENTER?	ἔ-δῡ-τον
What is the Third Person Dual form of the Present Second Aorist Active Indicative of δύω ENTER?	ἐ-δύ-την
What is the First Person Plural form of the Present Second Aorist Active Indicative of δύω ENTER?	ἔ-δῡ-μεν
What is the Second Person Plural form of the Present Second Aorist Active Indicative of δύω ENTER?	ἔ-δῡ-τε
What is the Third Person Plural form of the Present Second Aorist Active Indicative of δύω ENTER?	ἔ-δῡ-σαν
What is the First Person Singular form of the Present Second Aorist Active Subjunctive of δύω ENTER?	δύω
What is the Second Person Singular form of the Present Second Aorist Active Subjunctive of δύω ENTER?	δύῃς
What is the Third Person Singular form of the Present Second Aorist Active Subjunctive of δύω ENTER?	δύῃ
What is the Second Person Dual form of the Present Second Aorist Active Subjunctive of δύω ENTER?	δύητον
What is the Third Person Dual form of the Present Second Aorist Active Subjunctive of δύω ENTER?	δύητον
What is the First Person Plural form of the Present Second Aorist Active Subjunctive of δύω ENTER?	δύωμεν
What is the Second Person Plural form of the Present Second Aorist Active Subjunctive of δύω ENTER?	δύητε
What is the Third Person Plural form of the Present Second Aorist Active Subjunctive of δύω ENTER?	δύωσι
What is the First Person Singular form of the Present Second Aorist Active Optative of δύω ENTER?	δῦ-θι
What is the Second Person Singular form of the Present Second Aorist Active Optative of δύω ENTER?	δύ-τω
What is the Third Person Singular form of the Present Second Aorist Active Optative of δύω ENTER?	δῦ-τον
What is the Second Person Dual form of the Present Second Aorist Active Optative of δύω ENTER?	δύ-τω
What is the Third Person Dual form of the Present Second Aorist Active Optative of δύω ENTER?	δῦ-τον
What is the First Person Plural form of the Present Second Aorist Active Optative of δύω ENTER?	δύ-των
What is the Second Person Plural form of the Present Second Aorist Active Optative of δύω ENTER?	δῦ-τε
What is the Third Person Plural form of the Present Second Aorist Active Optative of δύω ENTER?	δύ-ντων
